sexo,idade,cor,MSAU051,escolaridade,formacao
Masculino,38,Parda,Sim,Especialização,Administração
Masculino,34,Preta,Sim,Ensino superior completo,Sociologia
Feminino,51,Parda,Sim,Ensino superior completo,Assistência social
Masculino,30,Branca,Sim,Ensino superior completo,Medicina
Masculino,51,Parda,Sim,Especialização,Pedagogia
Masculino,43,Parda,Não,Ensino superior completo,Administração
Feminino,47,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,33,Parda,Não,Ensino superior completo,Administração
Masculino,43,Parda,Sim,Especialização,Pedagogia
Feminino,36,Branca,Sim,Ensino superior completo,Administração
Feminino,45,Parda,Sim,Ensino superior completo,Psicologia
Masculino,29,Parda,Não,Ensino superior completo,Assistência social
Feminino,37,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,33,Parda,Sim,Ensino superior incompleto,-
Feminino,39,Parda,Sim,Ensino superior completo,Direito
Masculino,50,Preta,Sim,Ensino médio (2º Grau) completo,-
Feminino,43,Parda,Sim,Especialização,Assistência social
Feminino,35,Parda,Sim,Especialização,Assistência social
Feminino,56,Branca,Sim,Ensino superior completo,Assistência social
Feminino,43,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,38,Branca,Sim,Especialização,Administração
Feminino,46,Parda,Não,Especialização,Pedagogia
Feminino,44,Branca,Sim,Especialização,Pedagogia
Masculino,45,Branca,Não,Especialização,Pedagogia
Masculino,33,Parda,Não,Ensino superior completo,Pedagogia
Masculino,44,Parda,Sim,Ensino superior completo,Sociologia
Feminino,43,Branca,Sim,Especialização,Pedagogia
Masculino,46,Branca,Não,Especialização,Direito
Masculino,26,Branca,Não,Ensino superior completo,Enfermagem
Masculino,55,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,25,Parda,Não,Ensino superior completo,Nutrição
Masculino,51,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,46,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,53,Parda,Sim,Ensino superior completo,Administração
Feminino,46,Parda,Sim,Ensino superior completo,Assistência social
Masculino,54,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,59,Parda,Sim,Ensino superior completo,Administração
Masculino,34,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,39,Parda,Sim,Ensino superior completo,Administração
Masculino,52,Branca,Não,Ensino superior completo,Assistência social
Masculino,37,Branca,Não,Ensino superior incompleto,-
Feminino,46,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,57,Branca,Sim,Especialização,Assistência social
Feminino,39,Parda,Não,Especialização,Pedagogia
Masculino,41,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,36,Branca,Não,Mestrado,Administração
Feminino,54,Parda,Sim,Especialização,Pedagogia
Feminino,40,Preta,Não,Ensino superior completo,Administração
Feminino,28,Parda,Sim,Especialização,Pedagogia
Masculino,57,Branca,Não,Ensino superior completo,Administração
Masculino,53,Parda,Sim,Ensino superior completo,Assistência social
Masculino,33,Preta,Sim,Mestrado,Pedagogia
Masculino,50,Branca,Não,Mestrado,Terapia ocupacional
Feminino,35,Parda,Não,Especialização,Pedagogia
Feminino,26,Parda,Sim,Ensino superior completo,Administração
Masculino,49,Branca,Sim,Especialização,Enfermagem
Masculino,55,Parda,Sim,Especialização,Sociologia
Feminino,42,Parda,Não,Especialização,Assistência social
Feminino,29,Parda,Sim,Especialização,Pedagogia
Feminino,33,Parda,Sim,Especialização,Pedagogia
Masculino,45,Branca,Não,Especialização,Pedagogia
Feminino,38,Branca,Não,Ensino superior incompleto,-
Feminino,70,Parda,Não,Especialização,Medicina
Feminino,35,Parda,Não,Ensino superior completo,Direito
Masculino,33,Branca,Não,Especialização,Administração
Masculino,40,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,32,Indígena,Sim,Especialização,Pedagogia
Feminino,54,Parda,Sim,Especialização,Administração
Masculino,58,Parda,Sim,Ensino superior completo,Assistência social
Feminino,56,Branca,Não,Ensino superior incompleto,-
Masculino,40,Parda,Não,Ensino superior completo,Administração
Feminino,31,Parda,Sim,Especialização,Pedagogia
Feminino,45,Parda,Sim,Especialização,Pedagogia
Masculino,35,Branca,Não,Ensino superior completo,Medicina
Feminino,46,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,42,Parda,Sim,Ensino superior incompleto,-
Feminino,34,Branca,Não,Ensino superior completo,Pedagogia
Feminino,37,Parda,Não,Especialização,Administração
Masculino,52,Branca,Sim,Ensino superior incompleto,-
Masculino,45,Branca,Não,Ensino superior completo,Assistência social
Feminino,54,Branca,Não,Ensino superior incompleto,-
Feminino,40,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,37,Parda,Sim,Ensino médio (2º Grau) incompleto,-
Masculino,27,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,42,Parda,Não,Ensino superior completo,Terapia ocupacional
Masculino,42,Parda,Sim,Ensino superior completo,Assistência social
Masculino,29,Parda,Sim,Especialização,Administração
Feminino,33,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,39,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,35,Parda,Não,Especialização,Assistência social
Feminino,41,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,40,Parda,Sim,Ensino superior incompleto,-
Feminino,59,Parda,Não,Ensino superior completo,Pedagogia
Masculino,55,Parda,Sim,Ensino superior completo,Assistência social
Masculino,34,Branca,Sim,Especialização,Pedagogia
Feminino,51,Parda,Não,Especialização,Pedagogia
Feminino,45,Parda,Não,Ensino superior completo,Sociologia
Feminino,42,Parda,Não,Ensino superior completo,Administração
Feminino,44,Branca,Sim,Ensino superior completo,Administração
Feminino,47,Branca,Não,Especialização,Assistência social
Feminino,34,Parda,Não,Ensino superior completo,Direito
Masculino,45,Branca,Não,Especialização,Pedagogia
Feminino,35,Parda,Não,Especialização,Sociologia
Masculino,30,Parda,Sim,Ensino superior completo,Administração
Masculino,29,Parda,Sim,Ensino superior completo,Administração
Masculino,47,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,31,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,54,Branca,Sim,Ensino superior completo,Medicina
Masculino,35,Parda,Não,Ensino superior completo,Pedagogia
Feminino,41,Parda,Não,Especialização,Pedagogia
Masculino,51,Parda,Não,Especialização,Assistência social
Feminino,45,Parda,Sim,Especialização,Sociologia
Feminino,54,Branca,Não,Doutorado,Pedagogia
Masculino,32,Branca,Não,Ensino superior completo,Pedagogia
Masculino,28,Branca,Não,Especialização,Enfermagem
Masculino,48,Parda,Não,Mestrado,Medicina
Feminino,38,Parda,Não,Ensino superior completo,Pedagogia
Masculino,53,Parda,Sim,Especialização,Jornalismo
Masculino,43,Parda,Sim,Ensino superior completo,Jornalismo
Masculino,36,Parda,Não,Ensino superior completo,Administração
Feminino,52,Parda,Sim,Especialização,Administração
Feminino,52,Parda,Sim,Especialização,Psicologia
Feminino,55,Parda,Sim,Especialização,Pedagogia
Masculino,52,Parda,Não,Especialização,Assistência social
Feminino,31,Parda,Não,Especialização,Pedagogia
Feminino,52,Branca,Não,Ensino superior completo,Jornalismo
Masculino,42,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,53,Branca,Não,Ensino superior completo,Assistência social
Feminino,65,Branca,Não,Especialização,Enfermagem
Masculino,61,Parda,Não,Ensino superior completo,Sociologia
Feminino,36,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,56,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,48,Parda,Não,Ensino superior completo,Sociologia
Feminino,35,Parda,Não,Ensino superior completo,Direito
Masculino,50,Branca,Não,Ensino médio (2º Grau) completo,-
Feminino,36,Parda,Sim,Ensino superior completo,Sociologia
Feminino,58,Parda,Sim,Ensino superior completo,Sociologia
Feminino,29,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,60,Parda,Não,Ensino superior completo,Administração
Feminino,29,Branca,Sim,Especialização,Administração
Masculino,51,Parda,Sim,Ensino superior completo,Administração
Masculino,37,Parda,Sim,Ensino fundamental (1º Grau) incompleto,-
Feminino,40,Parda,Não,Ensino superior completo,Pedagogia
Feminino,35,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,40,Parda,Não,Ensino superior completo,Administração
Masculino,51,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,43,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,36,Parda,Não,Especialização,Pedagogia
Feminino,56,Parda,Sim,Ensino superior completo,Nutrição
Masculino,35,Branca,Sim,Ensino superior completo,Assistência social
Feminino,38,Parda,Não,Especialização,Pedagogia
Feminino,46,Parda,Sim,Ensino superior completo,Assistência social
Feminino,59,Parda,Não,Ensino superior incompleto,-
Feminino,42,Parda,Sim,Ensino superior completo,Direito
Masculino,50,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,42,Parda,Não,Especialização,Administração
Masculino,56,Branca,Não,Ensino médio (2º Grau) completo,-
Masculino,41,Branca,Não,Especialização,Jornalismo
Masculino,37,Parda,Não,Ensino superior completo,Administração
Feminino,56,Parda,Sim,Especialização,Terapia ocupacional
Feminino,41,Parda,Não,Ensino superior completo,Pedagogia
Masculino,29,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,51,Parda,Não,Especialização,Administração
Masculino,55,Parda,Não,Ensino superior incompleto,-
Feminino,45,Branca,Não,Ensino superior completo,Jornalismo
Feminino,33,Parda,Não,Especialização,Pedagogia
Feminino,46,Branca,Sim,Especialização,Pedagogia
Masculino,40,Branca,Não,Ensino superior completo,Enfermagem
Masculino,47,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,49,Branca,Sim,Ensino superior completo,Nutrição
Feminino,35,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,32,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,29,Parda,Sim,Mestrado,Administração
Masculino,34,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,57,Branca,Sim,Ensino médio (2º Grau) completo,-
Feminino,36,Parda,Sim,Mestrado,Administração
Feminino,42,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,47,Branca,Sim,Ensino superior completo,Direito
Feminino,48,Parda,Sim,Especialização,Pedagogia
Feminino,36,Amarela,Sim,Ensino médio (2º Grau) incompleto,-
Masculino,40,Parda,Sim,Ensino superior completo,Assistência social
Masculino,53,Branca,Sim,Ensino superior completo,Assistência social
Masculino,29,Parda,Não,Ensino superior completo,Administração
Feminino,60,Branca,Não,Ensino superior completo,Medicina
Feminino,33,Parda,Sim,Ensino superior completo,Administração
Masculino,56,Parda,Não,Ensino superior completo,Sociologia
Masculino,39,Parda,Sim,Mestrado,Pedagogia
Masculino,36,Parda,Sim,Especialização,Administração
Masculino,57,Branca,Sim,Especialização,Enfermagem
Masculino,34,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,46,Parda,Sim,Especialização,Administração
Masculino,38,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,39,Branca,Não,Ensino superior completo,Administração
Masculino,44,Branca,Sim,Ensino superior completo,Sociologia
Feminino,28,Parda,Sim,Especialização,Pedagogia
Feminino,36,Parda,Sim,Mestrado,Pedagogia
Feminino,45,Parda,Não,Ensino superior completo,Direito
Masculino,61,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,38,Branca,Não,Ensino superior completo,Administração
Feminino,43,Preta,Sim,Ensino superior completo,Direito
Masculino,61,Branca,Sim,Ensino superior completo,Jornalismo
Masculino,42,Parda,Não,Especialização,Administração
Masculino,65,Branca,Sim,Ensino superior completo,Jornalismo
Masculino,31,Parda,Não,Ensino superior incompleto,-
Feminino,51,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,41,Branca,Não,Especialização,Medicina
Masculino,36,Parda,Não,Ensino superior completo,Assistência social
Feminino,58,Branca,Não,Ensino médio (2º Grau) completo,-
Feminino,39,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,49,Branca,Não,Ensino superior incompleto,-
Feminino,35,Parda,Não,Ensino superior completo,Direito
Masculino,53,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,33,Branca,Não,Especialização,Administração
Masculino,38,Preta,Sim,Ensino superior completo,Administração
Feminino,47,Parda,Não,Especialização,Direito
Masculino,48,Parda,Não,Ensino superior completo,Assistência social
Feminino,30,Branca,Não,Ensino superior incompleto,-
Feminino,31,Parda,Sim,Ensino superior completo,Administração
Feminino,43,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,37,Parda,Sim,Ensino superior completo,Direito
Feminino,49,Parda,Sim,Especialização,Sociologia
Masculino,34,Branca,Não,Especialização,Enfermagem
Masculino,61,Branca,Não,Ensino superior completo,Administração
Masculino,45,Parda,Não,Ensino superior completo,Administração
Feminino,53,Preta,Sim,Ensino superior completo,Assistência social
Feminino,59,Parda,Sim,Ensino superior completo,Administração
Feminino,35,Parda,Sim,Especialização,Administração
Feminino,30,Branca,Sim,Especialização,Administração
Masculino,37,Branca,Não,Ensino superior completo,Assistência social
Masculino,38,Parda,Não,Ensino superior completo,Enfermagem
Feminino,39,Branca,Não,Especialização,Administração
Masculino,31,Branca,Não,Ensino superior completo,Administração
Feminino,51,Branca,Não,Ensino superior completo,Nutrição
Feminino,62,Parda,Sim,Especialização,Enfermagem
Masculino,49,Parda,Sim,Ensino superior incompleto,-
Feminino,34,Parda,Não,Ensino superior incompleto,-
Feminino,49,Parda,Não,Especialização,Nutrição
Masculino,58,Parda,Não,Especialização,Sociologia
Masculino,50,Branca,Não,Especialização,Enfermagem
Feminino,56,Parda,Não,Especialização,Pedagogia
Masculino,48,Parda,Não,Ensino superior completo,Sociologia
Masculino,55,Parda,Não,Especialização,Medicina
Masculino,51,Parda,Não,Especialização,Enfermagem
Masculino,32,Parda,Sim,Ensino superior completo,Administração
Feminino,50,Branca,Sim,Especialização,Pedagogia
Masculino,58,Branca,Não,Mestrado,Medicina
Masculino,40,Branca,Não,Especialização,Assistência social
Masculino,50,Preta,Sim,Ensino médio (2º Grau) completo,-
Masculino,56,Parda,Não,Especialização,Medicina
Masculino,55,Branca,Não,Ensino superior completo,Medicina
Feminino,28,Parda,Sim,Especialização,Enfermagem
Masculino,55,Parda,Não,Ensino superior completo,Pedagogia
Masculino,40,Branca,Não,Ensino superior completo,Assistência social
Feminino,41,Parda,Não,Ensino superior completo,Administração
Feminino,44,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,55,Parda,Não,Ensino superior completo,Administração
Masculino,32,Parda,Sim,Especialização,Assistência social
Feminino,39,Parda,Sim,Ensino superior completo,Sociologia
Masculino,29,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,53,Parda,Sim,Ensino superior completo,Administração
Feminino,45,Parda,Sim,Ensino superior incompleto,-
Masculino,40,Preta,Sim,Ensino superior completo,Assistência social
Feminino,32,Branca,Não,Ensino superior completo,Direito
Masculino,45,Parda,Não,Ensino superior completo,Jornalismo
Feminino,64,Preta,Sim,Especialização,Administração
Masculino,0,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,58,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,29,Parda,Sim,Ensino superior completo,Administração
Masculino,37,Preta,Sim,Ensino superior completo,Administração
Masculino,33,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,36,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,36,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,39,Parda,Sim,Ensino superior completo,Assistência social
Feminino,40,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,30,Parda,Sim,Ensino superior completo,Administração
Masculino,48,Branca,Sim,Ensino superior completo,Administração
Masculino,64,Branca,Não,Ensino médio (2º Grau) completo,-
Masculino,37,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,40,Preta,Sim,Ensino superior incompleto,-
Feminino,33,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,45,Parda,Sim,Ensino superior incompleto,-
Masculino,28,Parda,Sim,Ensino superior incompleto,-
Feminino,55,Branca,Sim,Ensino superior completo,Direito
Masculino,40,Branca,Sim,Ensino superior completo,Sociologia
Masculino,37,Preta,Não,Ensino superior completo,Administração
Masculino,40,Parda,Sim,Ensino superior completo,Assistência social
Feminino,33,Parda,Não,Ensino superior completo,Sociologia
Feminino,31,Branca,Sim,Especialização,Administração
Feminino,31,Parda,Sim,Ensino superior completo,Administração
Masculino,57,Branca,Sim,Ensino superior completo,Administração
Feminino,33,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,59,Parda,Sim,Ensino superior incompleto,-
Masculino,46,Parda,Sim,Ensino superior incompleto,-
Feminino,52,Parda,Sim,Ensino superior completo,Sociologia
Feminino,29,Parda,Sim,Ensino superior completo,Psicologia
Feminino,40,Parda,Não,Ensino superior incompleto,-
Masculino,32,Preta,Sim,Ensino médio (2º Grau) completo,-
Feminino,39,Parda,Sim,Ensino superior completo,Sociologia
Feminino,35,Preta,Sim,Ensino superior completo,Sociologia
Feminino,33,Parda,Não,Ensino superior completo,Administração
Masculino,54,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,58,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,42,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,37,Parda,Não,Especialização,Pedagogia
Feminino,49,Parda,Não,Ensino superior completo,Administração
Feminino,35,Branca,Não,Ensino superior completo,Administração
Masculino,39,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,44,Parda,Sim,Ensino superior incompleto,-
Feminino,40,Branca,Sim,Especialização,Sociologia
Masculino,40,Parda,Sim,Especialização,Assistência social
Feminino,43,Parda,Não,Ensino superior completo,Pedagogia
Feminino,40,Parda,Não,Ensino superior completo,Direito
Feminino,36,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,43,Parda,Sim,Ensino superior completo,Administração
Feminino,36,Branca,Sim,Ensino superior incompleto,-
Feminino,28,Parda,Sim,Ensino superior completo,Assistência social
Feminino,22,Branca,Não,Ensino superior incompleto,-
Feminino,34,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,41,Parda,Não,Ensino superior completo,Administração
Feminino,45,Parda,Não,Ensino superior completo,Pedagogia
Feminino,37,Parda,Sim,Ensino superior incompleto,-
Feminino,43,Parda,Não,Especialização,Administração
Masculino,45,Parda,Sim,Ensino superior completo,Sociologia
Masculino,52,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,39,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,45,Parda,Sim,Ensino superior completo,Jornalismo
Masculino,42,Parda,Não,Ensino superior completo,Pedagogia
Masculino,42,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,38,Parda,Sim,Ensino superior completo,Administração
Feminino,53,Branca,Não,Ensino superior completo,Assistência social
Feminino,38,Parda,Não,Ensino superior completo,Assistência social
Masculino,50,Branca,Sim,Especialização,Assistência social
Feminino,40,Preta,Sim,Especialização,Pedagogia
Masculino,26,Preta,Sim,Ensino médio (2º Grau) completo,-
Masculino,47,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,30,Branca,Sim,Especialização,Pedagogia
Masculino,45,Branca,Não,Ensino médio (2º Grau) completo,-
Masculino,56,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,30,Parda,Não,Ensino superior completo,Administração
Feminino,39,Parda,Não,Ensino superior completo,Sociologia
Feminino,43,Parda,Não,Ensino superior completo,Sociologia
Masculino,37,Parda,Sim,Ensino superior incompleto,-
Feminino,50,Parda,Sim,Especialização,Assistência social
Feminino,38,Parda,Sim,Especialização,Enfermagem
Feminino,53,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,41,Parda,Sim,Especialização,Sociologia
Feminino,41,Parda,Não,Ensino superior completo,Pedagogia
Feminino,39,Preta,Sim,Especialização,Pedagogia
Masculino,49,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,45,Branca,Não,Ensino superior completo,Sociologia
Masculino,39,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,64,Branca,Sim,Especialização,Administração
Masculino,31,Preta,Sim,Ensino superior completo,Administração
Masculino,38,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,39,Preta,Sim,Ensino médio (2º Grau) completo,-
Feminino,38,Branca,Não,Ensino superior completo,Psicologia
Feminino,0,Parda,Não,Especialização,Direito
Masculino,30,Branca,Sim,Especialização,Pedagogia
Feminino,49,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,47,Branca,Não,Ensino superior completo,Assistência social
Masculino,58,Parda,Sim,Ensino superior completo,Administração
Masculino,34,Branca,Não,Ensino superior completo,Administração
Feminino,48,Parda,Não,Ensino fundamental (1º Grau) completo,-
Masculino,37,Branca,Não,Ensino superior completo,Administração
Feminino,41,Parda,Sim,Ensino superior completo,Direito
Feminino,35,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,65,Branca,Sim,Especialização,Administração
Feminino,30,Parda,Não,Ensino superior completo,Sociologia
Feminino,37,Parda,Não,Ensino superior completo,Direito
Feminino,48,Parda,Não,Ensino superior completo,Pedagogia
Feminino,47,Parda,Sim,Ensino superior completo,Sociologia
Feminino,38,Parda,Sim,Ensino superior incompleto,-
Feminino,31,Preta,Sim,Ensino superior incompleto,-
Masculino,38,Parda,Não,Ensino superior incompleto,-
Masculino,27,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,33,Parda,Sim,Ensino superior completo,Assistência social
Masculino,31,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,27,Parda,Sim,Ensino superior completo,Administração
Masculino,35,Parda,Não,Ensino superior completo,Assistência social
Feminino,0,Branca,Não,Ensino superior completo,Direito
Feminino,33,Parda,Sim,Ensino superior incompleto,-
Feminino,0,Parda,Sim,Ensino superior completo,Direito
Masculino,0,Parda,Não,Ensino superior completo,Sociologia
Feminino,37,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,0,Branca,Sim,Mestrado,Enfermagem
Feminino,52,Branca,Sim,Ensino superior completo,Administração
Masculino,37,Parda,Sim,Especialização,Assistência social
Feminino,39,Branca,Não,Ensino médio (2º Grau) completo,-
Feminino,61,Parda,Não,Ensino superior completo,Direito
Masculino,29,Parda,Não,Ensino superior completo,Administração
Masculino,33,Branca,Não,Especialização,Enfermagem
Feminino,38,Parda,Não,Ensino superior completo,Assistência social
Feminino,46,Parda,Sim,Ensino superior incompleto,-
Feminino,28,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,57,Parda,Sim,Ensino superior incompleto,-
Masculino,35,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,34,Preta,Sim,Mestrado,Pedagogia
Feminino,35,Parda,Sim,Ensino superior completo,Sociologia
Feminino,41,Parda,Sim,Especialização,Assistência social
Feminino,54,Branca,Sim,Especialização,Administração
Masculino,40,Branca,Sim,Ensino superior completo,Sociologia
Feminino,45,Branca,Não,Especialização,Enfermagem
Masculino,32,Branca,Sim,Ensino superior completo,Administração
Feminino,32,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,56,Amarela,Sim,Ensino superior completo,Pedagogia
Feminino,31,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,38,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,36,Branca,Sim,Especialização,Pedagogia
Feminino,63,Branca,Não,Especialização,Pedagogia
Feminino,47,Branca,Não,Ensino superior incompleto,-
Feminino,32,Parda,Não,Ensino superior completo,Administração
Masculino,59,Branca,Não,Ensino superior completo,Administração
Masculino,50,Parda,Sim,Ensino superior completo,Administração
Feminino,41,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,43,Parda,Não,Ensino superior completo,Medicina
Masculino,39,Parda,Sim,Mestrado,Assistência social
Feminino,38,Branca,Não,Especialização,Pedagogia
Feminino,36,Preta,Sim,Especialização,Pedagogia
Feminino,39,Branca,Sim,Especialização,Pedagogia
Feminino,29,Parda,Não,Ensino superior completo,Pedagogia
Feminino,49,Parda,Não,Ensino superior completo,Pedagogia
Masculino,36,Parda,Sim,Especialização,Jornalismo
Masculino,39,Parda,Sim,Especialização,Pedagogia
Masculino,49,Branca,Não,Ensino superior incompleto,-
Masculino,38,Parda,Sim,Ensino superior completo,Enfermagem
Masculino,33,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,28,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,33,Parda,Sim,Ensino superior completo,Pedagogia
